0.44,-0.13,0.33,0.01,-30.00,30.00,-30.00,30.00,
0.47,-0.11,0.34,0.01,-30.00,30.00,-30.00,30.00,
0.50,-0.10,0.35,0.01,-30.00,30.00,-30.00,30.00,
0.52,-0.08,0.38,0.01,-30.00,30.00,-30.00,-30.00,
0.55,-0.08,0.44,0.01,-30.00,30.00,-30.00,-30.00,
0.57,-0.07,0.50,0.01,-30.00,30.00,30.00,-30.00,
0.58,-0.07,0.52,0.01,-30.00,30.00,-30.00,-30.00,
0.58,-0.05,0.50,2.01,-30.00,30.00,-30.00,30.00,
0.58,-0.03,0.50,2.01,-30.00,30.00,-30.00,30.00,
0.58,-0.03,0.53,2.01,-30.00,30.00,30.00,-30.00,
0.57,-0.03,0.61,2.01,-30.00,30.00,30.00,-30.00,
0.55,-0.05,0.75,2.01,-30.00,30.00,30.00,-30.00,
0.53,-0.08,0.94,1.40,-30.00,30.00,30.00,-30.00,
0.53,-0.10,1.13,1.40,-30.00,30.00,30.00,-30.00,
0.55,-0.12,1.25,1.40,-30.00,30.00,30.00,-30.00,
0.54,-0.14,1.31,1.40,-30.00,30.00,30.00,-30.00,
0.52,-0.19,1.28,1.40,30.00,-30.00,30.00,-30.00,
0.53,-0.26,1.24,0.98,-30.00,-30.00,-30.00,-30.00,
0.53,-0.33,1.21,0.98,-30.00,-30.00,-30.00,-30.00,
0.54,-0.39,1.19,0.98,-30.00,-30.00,-30.00,-30.00,
0.54,-0.42,1.18,0.98,-30.00,-30.00,-30.00,-30.00,
0.54,-0.46,1.16,0.98,-30.00,-30.00,-30.00,-30.00,
0.54,-0.48,1.14,0.69,-30.00,-30.00,-30.00,-30.00,
0.54,-0.50,1.15,0.69,-30.00,-30.00,30.00,-30.00,
0.53,-0.52,1.20,0.69,-30.00,30.00,30.00,-30.00,
0.52,-0.52,1.25,0.69,-30.00,30.00,30.00,-30.00,
0.50,-0.52,1.29,0.69,-30.00,30.00,30.00,-30.00,
0.48,-0.52,1.31,0.48,-30.00,30.00,30.00,-30.00,
0.46,-0.53,1.32,0.48,-30.00,30.00,30.00,-30.00,
0.44,-0.54,1.37,0.48,-30.00,30.00,30.00,-30.00,
0.42,-0.55,1.42,0.48,-30.00,30.00,30.00,-30.00,
0.40,-0.57,1.45,0.48,-30.00,30.00,30.00,-30.00,
0.37,-0.59,1.50,0.34,-30.00,30.00,30.00,-30.00,
0.34,-0.61,1.55,0.34,-30.00,30.00,30.00,-30.00,
0.28,-0.68,1.72,0.34,-30.00,30.00,30.00,-30.00,
0.23,-0.71,1.88,0.34,-30.00,30.00,30.00,-30.00,
0.21,-0.72,2.03,0.24,-30.00,30.00,30.00,-30.00,
0.20,-0.74,2.10,0.24,-30.00,30.00,30.00,-30.00,
0.17,-0.76,2.10,0.24,30.00,-30.00,30.00,-30.00,
0.13,-0.78,2.09,0.24,30.00,-30.00,30.00,-30.00,
0.10,-0.80,2.08,0.24,30.00,-30.00,30.00,-30.00,
0.09,-0.83,2.04,0.17,30.00,-30.00,30.00,-30.00,
0.09,-0.82,1.95,0.17,30.00,-30.00,-30.00,30.00,
0.11,-0.74,1.89,0.17,-30.00,30.00,30.00,-30.00,
0.17,-0.72,1.91,0.12,-30.00,30.00,-30.00,-30.00,
0.18,-0.67,1.84,0.12,30.00,30.00,-30.00,30.00,
0.15,-0.64,1.78,0.12,30.00,30.00,30.00,30.00,
0.13,-0.61,1.76,0.12,30.00,30.00,30.00,-30.00,
0.15,-0.60,1.81,0.12,-30.00,30.00,30.00,-30.00,
0.17,-0.58,1.84,0.08,-30.00,30.00,30.00,-30.00,
0.14,-0.56,1.86,0.08,-30.00,30.00,30.00,-30.00,
0.12,-0.56,1.92,0.08,-30.00,30.00,30.00,-30.00,
0.10,-0.63,1.99,0.08,-30.00,-30.00,30.00,-30.00,
0.06,-0.67,1.94,0.06,30.00,-30.00,30.00,-30.00,
0.01,-0.72,1.86,0.06,30.00,-30.00,30.00,-30.00,
-0.02,-0.78,1.77,0.06,30.00,-30.00,30.00,-30.00,
-0.06,-0.84,1.64,0.06,30.00,-30.00,-30.00,-30.00,
-0.09,-0.87,1.50,0.06,30.00,-30.00,-30.00,-30.00,
-0.10,-0.90,1.39,0.04,30.00,-30.00,-30.00,30.00,
-0.11,-0.91,1.33,0.04,30.00,-30.00,-30.00,-30.00,
-0.10,-0.93,1.29,0.04,30.00,-30.00,-30.00,-30.00,
-0.10,-0.93,1.26,0.04,-30.00,-30.00,-30.00,-30.00,
-0.10,-0.92,1.24,0.04,30.00,-30.00,30.00,-30.00,
-0.10,-0.90,1.24,0.03,-30.00,30.00,30.00,-30.00,
-0.10,-0.87,1.25,0.03,-30.00,30.00,30.00,-30.00,
-0.10,-0.84,1.27,0.03,-30.00,30.00,30.00,-30.00,
-0.10,-0.82,1.27,0.03,-30.00,30.00,30.00,-30.00,
-0.10,-0.80,1.25,0.03,-30.00,30.00,30.00,-30.00,
-0.12,-0.79,1.19,0.02,30.00,-30.00,30.00,30.00,
-0.13,-0.81,1.07,0.02,30.00,-30.00,-30.00,30.00,
-0.15,-0.83,0.91,0.02,30.00,-30.00,-30.00,30.00,
-0.14,-0.87,0.60,0.02,30.00,-30.00,-30.00,30.00,
-0.10,-0.87,0.53,0.01,-30.00,-30.00,-30.00,30.00,
-0.03,-0.88,0.51,0.01,-30.00,-30.00,-30.00,-30.00,
0.04,-0.88,0.53,0.01,-30.00,-30.00,-30.00,-30.00,
0.11,-0.88,0.55,0.01,-30.00,-30.00,-30.00,-30.00,
0.18,-0.90,0.57,0.01,-30.00,-30.00,-30.00,-30.00,
0.23,-0.91,0.59,0.01,-30.00,-30.00,-30.00,-30.00,
0.30,-0.94,0.67,0.01,-30.00,-30.00,-30.00,-30.00,
0.31,-0.98,0.79,0.01,-30.00,30.00,30.00,-30.00,
0.18,-1.16,0.87,0.01,30.00,-30.00,30.00,-30.00,
0.06,-1.24,0.80,0.01,30.00,-30.00,30.00,-30.00,
-0.08,-1.31,0.72,0.01,30.00,-30.00,30.00,-30.00,
-0.22,-1.37,0.70,0.01,30.00,-30.00,30.00,-30.00,
-0.31,-1.43,0.71,0.01,30.00,-30.00,30.00,-30.00,
-0.40,-1.46,0.76,0.01,30.00,-30.00,30.00,-30.00,
-0.47,-1.51,0.82,0.01,30.00,-30.00,30.00,-30.00,
-0.53,-1.53,0.90,0.01,30.00,-30.00,30.00,-30.00,
-0.61,-1.52,1.00,0.01,30.00,30.00,30.00,-30.00,
-0.72,-1.50,1.27,0.01,30.00,30.00,30.00,-30.00,
-0.77,-1.46,1.44,0.01,-30.00,30.00,30.00,-30.00,
