-0.35,-0.03,0.03,-0.06,0.28,9.39,1.26,-0.37,-5.96,-6.38,1.81,0.00,

-0.26,-0.11,0.00,-0.07,0.28,9.61,1.26,-0.37,-5.96,-6.29,1.74,0.00,

-0.26,0.09,-0.03,-0.09,0.29,9.36,1.26,-0.37,-5.96,-6.29,1.93,0.00,

-0.31,-0.05,0.02,-0.05,0.29,9.59,1.26,-0.37,-5.95,-6.33,1.80,0.00,

-0.26,0.09,-0.06,-0.06,0.27,9.50,1.26,-0.37,-5.95,-6.29,1.93,0.00,

-0.32,0.03,-0.06,-0.07,0.26,9.54,1.26,-0.37,-5.95,-6.35,1.87,0.00,

-0.31,0.05,-0.05,-0.08,0.28,9.55,1.26,-0.37,-5.95,-6.33,1.88,0.00,

-0.27,-0.02,-0.09,-0.03,0.24,9.43,1.26,-0.37,-5.95,-6.31,1.83,0.00,

-0.35,-0.02,-0.11,-0.07,0.27,9.57,1.26,-0.37,-5.95,-6.38,1.83,0.00,

-0.26,0.03,-0.03,-0.05,0.30,9.46,1.26,-0.37,-5.94,-6.29,1.88,0.00,

-0.27,-0.08,-0.02,-0.03,0.29,9.56,1.26,-0.37,-5.94,-6.30,1.78,0.00,

-0.32,0.03,0.00,-0.06,0.28,9.47,1.26,-0.37,-5.94,-6.35,1.89,0.00,

-0.23,-0.09,0.02,-0.08,0.26,9.57,1.26,-0.37,-5.94,-6.26,1.77,0.00,

-0.29,0.05,0.02,-0.05,0.29,9.51,1.26,-0.37,-5.93,-6.32,1.90,0.00,

-0.27,-0.11,-0.08,-0.09,0.27,9.51,1.26,-0.37,-5.93,-6.31,1.75,0.00,

-0.24,0.05,-0.02,-0.03,0.29,9.52,1.26,-0.37,-5.93,-6.27,1.91,0.00,

-0.27,-0.05,-0.03,-0.07,0.28,9.45,1.26,-0.37,-5.93,-6.31,1.82,0.00,

-0.29,-0.06,0.03,-0.04,0.30,9.52,1.26,-0.37,-5.93,-6.32,1.81,0.00,

-0.20,0.03,0.05,-0.05,0.29,9.46,1.26,-0.37,-5.92,-6.23,1.90,0.00,

-0.29,-0.02,0.02,-0.06,0.28,9.55,1.26,-0.37,-5.92,-6.32,1.86,0.00,

-0.24,0.05,0.00,-0.10,0.31,9.45,1.27,-0.37,-5.92,-6.27,1.91,0.00,

-0.31,-0.03,0.00,-0.06,0.27,9.52,1.27,-0.37,-5.92,-6.33,1.84,0.00,

-0.27,0.06,-0.02,-0.07,0.27,9.50,1.27,-0.37,-5.91,-6.31,1.92,0.00,

-0.26,-0.08,-0.03,-0.06,0.27,9.55,1.27,-0.37,-5.91,-6.30,1.79,0.00,

-0.27,-0.03,0.03,-0.06,0.26,9.51,1.27,-0.37,-5.91,-6.32,1.84,0.00,

-0.23,-0.03,0.03,-0.06,0.29,9.50,1.27,-0.38,-5.91,-6.27,1.84,0.00,

-0.29,-0.05,-0.05,-0.06,0.29,9.55,1.27,-0.38,-5.90,-6.33,1.83,0.00,

-0.31,0.02,-0.06,-0.05,0.26,9.46,1.27,-0.38,-5.90,-6.35,1.89,0.00,

-0.31,0.05,0.02,-0.07,0.29,9.56,1.27,-0.38,-5.90,-6.34,1.92,0.00,

-0.29,0.09,0.08,-0.06,0.26,9.51,1.27,-0.37,-5.90,-6.33,1.96,0.00,

-0.21,-0.06,0.03,-0.10,0.29,9.50,1.27,-0.37,-5.89,-6.26,1.81,0.00,

-0.34,0.02,-0.03,-0.09,0.26,9.51,1.27,-0.37,-5.89,-6.38,1.88,0.00,

-0.31,0.00,0.03,-0.06,0.26,9.47,1.27,-0.37,-5.89,-6.35,1.87,0.00,

-0.31,0.00,-0.03,-0.08,0.29,9.50,1.27,-0.37,-5.89,-6.35,1.86,0.00,

-0.29,-0.08,-0.02,-0.03,0.27,9.51,1.27,-0.38,-5.88,-6.33,1.80,0.00,

-0.24,-0.05,-0.02,-0.09,0.27,9.53,1.27,-0.38,-5.88,-6.29,1.83,0.00,

-0.27,0.06,-0.06,-0.07,0.29,9.49,1.27,-0.38,-5.88,-6.32,1.93,0.00,

-0.29,-0.02,-0.02,-0.07,0.29,9.54,1.27,-0.38,-5.88,-6.33,1.85,0.00,

-0.35,-0.03,0.05,-0.06,0.27,9.52,1.27,-0.38,-5.88,-6.39,1.84,0.00,

-0.26,0.05,0.05,-0.05,0.24,9.52,1.27,-0.38,-5.87,-6.31,1.92,0.00,

-0.29,-0.05,-0.02,-0.06,0.27,9.53,1.27,-0.38,-5.87,-6.34,1.83,0.00,

-0.18,-0.06,0.03,-0.06,0.27,9.54,1.27,-0.38,-5.87,-6.24,1.82,0.00,

-0.26,0.00,-0.08,-0.02,0.28,9.54,1.27,-0.38,-5.87,-6.32,1.89,0.00,

-0.26,0.05,-0.02,-0.06,0.30,9.50,1.27,-0.38,-5.86,-6.31,1.93,0.00,

-0.26,0.05,0.03,-0.06,0.27,9.50,1.27,-0.38,-5.86,-6.32,1.93,0.00,

