-0.61,0.32,-0.72,0.25,-0.07,9.69,0.31,-0.30,0.06,
-0.72,0.56,-0.02,0.29,-0.11,9.70,0.29,-0.29,0.06,
-0.84,0.40,0.40,0.32,-0.06,9.63,0.28,-0.29,0.06,
-0.60,0.41,0.56,0.32,-0.05,9.69,0.27,-0.29,0.06,
-0.76,0.66,0.15,0.30,0.10,9.65,0.26,-0.29,0.07,
-0.63,0.50,6.35,0.20,-0.03,9.45,0.22,-0.29,0.12,
0.14,0.38,8.21,0.28,0.16,9.74,0.22,-0.29,0.20,
-0.95,0.27,3.68,0.29,0.40,9.72,0.20,-0.30,0.24,
-1.16,0.55,-5.21,0.35,0.24,9.65,0.19,-0.30,0.19,
-1.77,0.75,-10.11,0.38,-0.15,9.64,0.17,-0.29,0.08,
-1.25,0.60,-8.31,0.32,-0.44,9.63,0.16,-0.29,0.00,
-0.69,0.78,-1.24,0.34,-0.58,9.63,0.15,-0.29,-0.01,
-0.21,0.35,3.74,0.43,-0.23,9.64,0.14,-0.30,0.03,
-0.75,0.76,7.85,0.57,-0.54,9.77,0.28,-0.31,0.62,
-0.60,0.92,5.66,0.42,-0.56,9.49,0.27,-0.30,0.67,
0.05,1.11,2.17,0.18,-1.08,9.73,0.27,-0.30,0.68,
-1.27,0.73,1.40,-0.12,-1.31,9.61,0.25,-0.29,0.69,
0.23,1.25,2.29,-0.56,-1.40,9.58,0.24,-0.28,0.71,
0.09,0.24,6.99,-0.38,-0.63,9.63,0.23,-0.28,0.77,
-1.45,0.34,-6.31,-0.39,0.52,9.74,0.21,-0.28,0.73,
-1.57,0.40,-9.16,-0.40,0.14,9.72,0.18,-0.27,0.63,
-1.54,0.43,-1.39,-0.13,-0.17,9.61,0.16,-0.27,0.61,
-0.09,-1.21,4.32,0.48,0.38,9.66,0.15,-0.28,0.65,
-0.92,0.05,3.45,0.91,0.61,9.78,0.14,-0.28,0.68,
-1.42,0.05,0.75,1.02,0.29,9.48,0.12,-0.29,0.68,
-0.76,0.32,-0.27,0.99,-0.48,9.69,0.11,-0.29,0.67,
-1.92,0.20,-0.15,0.58,-0.82,9.69,0.08,-0.29,0.67,
0.70,1.65,-2.35,0.50,-0.91,9.43,0.08,-0.28,0.64,
-1.39,0.52,-3.68,0.51,-0.65,9.84,0.06,-0.29,0.60,
0.24,1.42,0.35,0.09,-0.25,9.48,0.06,-0.28,0.59,
0.15,1.34,4.89,0.34,0.18,9.67,0.05,-0.27,0.64,
0.31,0.29,6.18,0.21,0.58,9.76,0.05,-0.28,0.69,
-0.66,0.90,5.16,-0.10,0.51,9.62,0.04,-0.27,0.74,
0.92,0.32,1.82,-0.19,0.28,9.65,0.04,-0.28,0.75,
-1.95,0.85,-0.69,-0.46,-0.17,9.64,0.02,-0.27,0.74,
-1.63,0.56,0.29,-0.49,-0.10,9.62,-0.00,-0.27,0.74,
0.43,-0.53,3.95,-0.32,0.14,9.61,0.00,-0.28,0.77,
-1.08,-0.47,4.96,0.03,0.30,9.86,-0.01,-0.29,0.82,
-1.21,-0.53,3.02,0.32,0.17,9.55,-0.03,-0.30,0.84,
-1.56,-0.66,-0.73,0.85,0.04,9.67,-0.04,-0.31,0.83,
-2.40,-0.02,-5.11,0.98,-0.21,9.63,-0.07,-0.31,0.77,
-2.50,0.31,-7.71,1.11,-0.57,9.80,-0.10,-0.32,0.69,
-1.79,1.19,-9.01,0.93,-0.67,9.48,-0.12,-0.31,0.59,
2.20,1.04,-7.50,1.12,-1.00,9.67,-0.10,-0.31,0.52,
-1.65,0.55,-4.20,0.86,-0.76,9.66,-0.12,-0.32,0.47,
1.69,2.34,1.28,0.62,-0.21,9.53,-0.11,-0.31,0.48,
0.26,1.16,2.73,0.57,0.44,9.84,-0.12,-0.31,0.50,
0.89,1.53,0.63,0.09,0.89,9.53,-0.11,-0.30,0.51,
0.79,0.61,-2.49,-0.29,1.19,9.77,-0.10,-0.31,0.48,
-1.10,1.54,-6.85,-0.39,0.63,9.54,-0.11,-0.30,0.41,
-0.29,-0.85,-6.40,-0.47,0.27,9.57,-0.12,-0.32,0.34,
-1.31,0.46,-2.00,-0.60,-0.34,9.81,-0.13,-0.32,0.32,
-1.37,-0.31,2.93,-0.58,-0.60,9.50,-0.14,-0.33,0.35,
0.20,-0.08,2.69,-0.27,-0.41,9.84,-0.14,-0.33,0.37,
-2.31,0.18,-2.52,-0.12,-0.59,9.63,-0.17,-0.33,0.34,
-1.13,-0.17,-5.01,-0.21,-0.25,9.65,-0.18,-0.34,0.29,
-1.42,-0.12,-1.83,0.28,-0.33,9.80,-0.20,-0.34,0.27,
-0.92,0.26,1.54,0.70,-0.40,9.54,-0.21,-0.34,0.28,
-0.11,-0.81,0.32,0.86,-0.10,9.55,-0.21,-0.36,0.29,
-1.01,-0.05,-5.50,0.57,0.31,9.80,-0.23,-0.36,0.23,
-1.82,1.92,-10.43,0.80,0.08,9.58,-0.25,-0.35,0.12,
-1.54,-0.03,-6.99,0.89,0.08,9.50,-0.26,-0.36,0.05,
0.63,1.36,3.54,0.63,-0.50,10.12,-0.26,-0.35,0.09,
0.00,0.58,4.53,0.05,-0.81,9.08,-0.26,-0.36,0.13,
0.31,1.44,1.33,0.47,-0.37,10.03,-0.26,-0.35,0.15,
-2.53,0.37,1.33,-0.33,0.23,9.43,-0.29,-0.35,0.16,
1.44,2.11,3.34,-0.40,0.00,9.75,-0.28,-0.34,0.19,
